id,submission_time,view_number,vote_number,title,message,image
47,1581678556,0,0-0,Whichof...,Which of the following is first generation of computer,
48,1581678556,0,0-0,FORTRANis...,FORTRAN is,
49,1581678556,0,0-0,EEPROMstands...,EEPROM stands for,
50,1581678556,0,0-0,SecondGeneration...,Second Generation computers were developed during ,
51,1581678556,1,0-0,Thecomputer...,The computer size was very large in ,
52,1581678556,0,0-0,Whichof...,Which of the following devices can be sued to directly image printed text,
53,1581678556,0,0-0,Theoutput...,The output quality of a printer is measured by,
54,1581678556,0,0-0,Whodesigned...,Who designed the first electronics computer – ENIAC,
55,1581678556,0,0-0,Whoinvented...,Who invented the high level language “C”,
56,1581678556,0,0-0,Personnelwho...,"Personnel who design, program, operate and maintain computer equipment refers to ",
57,1581678556,0,0-0,Whendid...,When did arch rivals IBM and Apple Computers Indecide to join hands,
58,1581678556,0,0-0,Humanbeings...,"Human beings are referred to as Homosapinens, which device is called Sillico Sapiens",
59,1581678556,0,0-0,Anerror...,An error in software or hardware is called a bug. What is the alternative computer jargon for it,
60,1581678556,0,0-0,Whatis...,What is the name of the display feature that highlights are of the screen which requires operator attention,
61,1581678556,0,0-0,Personalcomputers...,Personal computers use a number of chips mounted on a main circuit board.What is the common name for such boards,
62,1581678556,0,0-0,Inmost...,"In most IBM PCs, the CPU, the device drives, memory expansion slots and active components are mounted on a single board.What is the name of this board",
63,1581678556,0,0-0,Whatis...,What is meant by a dedicated computer,
64,1581678556,0,0-0,Acomputer...,A computer program that converts an entire program into machine language is called a/an ,
65,1581678556,0,0-0,Acomputer...,A computer program that translates one program instructions at a time into machine language is called a/an,
66,1581678556,0,0-0,Asmall...,A small or intelligent device is so called because ,
67,1581678556,0,0-0,Afault...,A fault in a computer program which prevents it from working correctly is known as ,
68,1581678556,0,0-0,Astate....,A state. is a bi-stable electronic circuit that has,
69,1581678556,0,0-0,Unwantedrepetitious...,"Unwanted repetitious messages, such as unsolicited bulk e-mail is known as ",
70,1581678556,0,0-0,DOSstands...,DOS stands for,
71,1581678556,0,0-0,Whichof...,Which of the following is also known as brain of computer,
72,1581678556,0,0-0,IBMstands...,IBM stands for,
73,1581678556,0,0-0,………………is...,……………… is an OOP principle,
74,1581678556,0,0-0,COBOLis...,COBOL is widely used in applications involving,
75,1581678556,0,0-0,RAMstands...,RAM stands for,
76,1581678556,0,0-0,1Byte...,1 Byte =,
77,1581678556,0,0-0,SMPSstands...,SMPS stands for,
78,1581678556,0,0-0,VDUis...,VDU is also called,
79,1581678556,0,0-0,BIOSstands...,BIOS stands for,
80,1581678556,0,0-0,Fatherof...,Father of C programming language,
81,1581678556,0,0-0,Theinstructions...,The instructions that tell a computer how to carry out the processing tasks are referred to as computer,
82,1581678556,0,0-0,Anarea...,An area of a computer that temporarily holds data waiting to be processed is,
83,1581678556,0,0-0,_________is...,_________ is the key to close a selected drop -down list and cancel a command and close a dialog box.,
84,1581678556,0,0-0,Databecomes...,Data becomes ……………. when it is presented in a format that people can understand and use,
85,1581678556,0,0-0,………….Is...,…………. Is the functional key to display save-as box,
86,1581678556,0,0-0,Theterm...,The term …………. designates equipment that might be added to a computer system to enhance its functionality,
87,1581678556,0,0-0,A…………...,A ………… is a microprocessor -based computing device ,
88,1581678556,0,0-0,RAMcan...,RAM can be treated as the ……… for the computer’s processor,
89,1581678556,0,0-0,Tomove...,To move a copy of file from one computer to another over a communication channel is,
90,1581678556,0,0-0,Theprimary...,The primary function of the ………… is to set up the hardware and load and start an operating system,
91,1581678556,0,0-0,Whatkind...,What kind of memory is both static and non -volatile,
92,1581678556,0,0-0,___________iscomputer...,___________is computer software designed to operate the computer hardware and to provide platform for running application software,
93,1581678556,0,0-0,The………...,The ……… is the amount of data that a storage device can move from the storage medium to the Computer per second data,
94,1581678556,0,0-0,"Adevice,...","A device, which is not connected to CPU, is called as ……. ",
95,1581678556,0,0-0,Whatis...,What is the other name for programmed chip,
96,1581678556,0,0-0,On-linereal...,On-line real time systems become popular in ……….. generation,
97,1581678556,0,0-0,Youuse...,"You use a(n) ….., such as a keyboard or mouse, to input information",
98,1581678556,0,0-0,………….is...,…………. is the ability of a device to “jump” directly to the requested data,
99,1581678556,0,0-0,………….provides...,"…………. provides process and memory management services that allow two or more tasks, jobs, or programs to run simultaneously",
100,1581678556,0,0-0,Thetask...,The task of performing operations like arithmetic and logical operations is called ,
101,1581678556,0,0-0,ALUand...,ALU and Control Unit jointly known as ,
102,1581678556,0,0-0,RAMis...,RAM is an example of,
103,1581678556,0,0-0,Magneticdisk...,Magnetic disk is an example of,
104,1581678556,0,0-0,Whichone...,Which one of the following is NOT a computer language,
105,1581678556,0,0-0,RAMis...,RAM is also called as Read / Write,
